year-week,ID_material,Units
2019-07,120014488,4320
2019-08,120014488,4680
2019-09,120014488,4500
2019-10,120014488,4320
2019-11,120014488,5940
2019-12,120014488,6480
2019-13,120014488,5040
2019-14,120014488,2880
2019-15,120014488,6300
2019-16,120014488,2880
2019-17,120014488,4500
2019-18,120014488,1080
2019-19,120014488,1080
2019-20,120014488,1620
2019-21,120014488,4860
2019-22,120014488,3780
2019-23,120014488,3240
2019-24,120014488,3240
2019-25,120014488,4050
2019-26,120014488,4860
2019-27,120014488,3600
2019-28,120014488,3420
2019-29,120014488,1620
2019-30,120014488,1822.5
2019-31,120014488,2025
2019-32,120014488,2700
2019-33,120014488,900
2019-34,120014488,180
2019-35,120014488,3960
2019-36,120014488,4860
2019-37,120014488,1260
2019-38,120014488,3240
2019-39,120014488,3330
2019-40,120014488,3420
2019-41,120014488,4140
2019-42,120014488,2160
2019-43,120014488,720
2019-44,120014488,1620
2019-45,120014488,3060
2019-46,120014488,2745
2019-47,120014488,2430
2019-48,120014488,2115
2019-49,120014488,1800
2019-50,120014488,0
2019-51,120014488,360
2019-52,120014488,0
2020-01,120014488,1080
2020-02,120014488,720
2020-03,120014488,1080
2020-04,120014488,960
2020-05,120014488,540
2020-06,120014488,3420
2020-07,120014488,0
2020-08,120014488,360
2020-09,120014488,0
2020-10,120014488,720
2020-11,120014488,180
2020-12,120014488,0
2020-13,120014488,1340
2020-14,120014488,0
2020-15,120014488,360
2020-16,120014488,2880
2020-17,120014488,5400
2020-18,120014488,3780
2020-19,120014488,3600
2020-20,120014488,6660
2020-21,120014488,1800
2020-22,120014488,1260
2020-23,120014488,720
2020-24,120014488,3420
2020-25,120014488,6120
2020-26,120014488,6480
2020-27,120014488,4320
2020-28,120014488,1485
2020-29,120014488,945
2020-30,120014488,405
2020-31,120014488,1800
2020-32,120014488,3060
2020-33,120014488,4320
2020-34,120014488,4140
2020-35,120014488,5220
2020-36,120014488,6300
2020-37,120014488,3960
2020-38,120014488,2160
2020-39,120014488,4545
2020-40,120014488,5040
2020-41,120014488,4500
2020-42,120014488,3060
2020-43,120014488,1620
2020-44,120014488,3420
2020-45,120014488,2700
2020-46,120014488,720
2020-47,120014488,720
2020-48,120014488,0
2020-49,120014488,1620
2020-50,120014488,0
2020-51,120014488,2700
2020-52,120014488,0
2020-53,120014488,0
2021-01,120014488,2340
2021-02,120014488,3780
2021-03,120014488,5220
2021-04,120014488,3780
2021-05,120014488,6120
2021-06,120014488,2520
2021-07,120014488,3060
2021-08,120014488,2340
2021-09,120014488,1620
2021-10,120014488,4884
2021-11,120014488,540
2021-12,120014488,360
2021-13,120014488,720
2021-14,120014488,1260
2021-15,120014488,1260
2021-16,120014488,900
2021-17,120014488,3420
2021-18,120014488,0
2021-19,120014488,0
2021-20,120014488,0
2021-21,120014488,0
2021-22,120014488,0
2021-23,120014488,540
2021-24,120014488,0
2021-25,120014488,0
2021-26,120014488,0
2021-27,120014488,4320
2021-28,120014488,0
2021-29,120014488,180
2021-30,120014488,0
2021-31,120014488,720
2021-32,120014488,1260
2021-33,120014488,1440
2021-34,120014488,1440
2021-35,120014488,1980
2021-36,120014488,1800
2021-37,120014488,1620
2021-38,120014488,3060
2021-39,120014488,3060
2021-40,120014488,3600
2021-41,120014488,1980
2021-42,120014488,2700
2021-43,120014488,1440
2021-44,120014488,2160
2021-45,120014488,3060
2021-46,120014488,900
2021-47,120014488,0
2021-48,120014488,180
2021-49,120014488,180
2021-50,120014488,180
2021-51,120014488,180
2021-52,120014488,180
2022-01,120014488,180
2022-02,120014488,360
2022-03,120014488,180
2022-04,120014488,720
2022-05,120014488,1980
2022-06,120014488,5400
2022-07,120014488,2520
2022-08,120014488,2840
2022-09,120014488,1620
2022-10,120014488,6552
2022-11,120014488,3564
2022-12,120014488,1728
2022-13,120014488,2376
2022-14,120014488,2772
2022-15,120014488,0
2022-16,120014488,0
2022-17,120014488,432
2022-18,120014488,0
2022-19,120014488,864
2022-20,120014488,648
2022-21,120014488,216
2022-22,120014488,2592
2022-23,120014488,864
2022-24,120014488,1944
2022-25,120014488,2376
2022-26,120014488,2268
2022-27,120014488,5832
2022-28,120014488,2376
2022-29,120014488,3240
2022-30,120014488,2808
2022-31,120014488,2808
2022-32,120014488,1728
2022-33,120014488,3996
2022-34,120014488,1512
2022-35,120014488,1080
2022-36,120014488,3240
2022-37,120014488,1944
2022-38,120014488,1944
2022-39,120014488,2160
2018-09,120015996,482
2018-10,120015996,536
2018-11,120015996,0
2018-12,120015996,0
2018-13,120015996,32
2018-14,120015996,296
2018-15,120015996,408
2018-16,120015996,656
2018-17,120015996,2524
2018-18,120015996,244
2018-19,120015996,2148
2018-20,120015996,1840
2018-21,120015996,1600
2018-22,120015996,3684
2018-23,120015996,1444
2018-24,120015996,1192
2018-25,120015996,384
2018-26,120015996,1208
2018-27,120015996,2568
2018-28,120015996,2736
2018-29,120015996,2324
2018-30,120015996,1148
2018-31,120015996,1392
2018-32,120015996,1396
2018-33,120015996,1428
2018-34,120015996,1696
2018-35,120015996,1652
2018-36,120015996,2108
2018-37,120015996,1912
2018-38,120015996,2440
2018-39,120015996,2446
2018-40,120015996,2452
2018-41,120015996,1332
2018-42,120015996,2720
2018-43,120015996,1440
2018-44,120015996,2312
2018-45,120015996,1076
2018-46,120015996,3404
2018-47,120015996,1312
2018-48,120015996,888
2018-49,120015996,1436
2018-50,120015996,1712
2018-51,120015996,2548
2018-52,120015996,2764
2019-01,120015996,3500
2019-02,120015996,1068
2019-03,120015996,1728
2019-04,120015996,3112
2019-05,120015996,1360
2019-06,120015996,844
2019-07,120015996,1116
2019-08,120015996,2.865
2019-09,120015996,2608
2019-10,120015996,732
2019-11,120015996,992
2019-12,120015996,576
2019-13,120015996,1296
2019-14,120015996,1268
2019-15,120015996,1796
2019-16,120015996,1804
2019-17,120015996,1248
2019-18,120015996,2532
2019-19,120015996,1460
2019-20,120015996,1996
2019-21,120015996,2936
2019-22,120015996,2574
2019-23,120015996,2212
2019-24,120015996,3484
2019-25,120015996,2016
2019-26,120015996,1320
2019-27,120015996,1276
2019-28,120015996,1848
2019-29,120015996,3433
2019-30,120015996,352
2019-31,120015996,1522
2019-32,120015996,1412
2019-33,120015996,1724
2019-34,120015996,2192
2019-35,120015996,2660
2019-36,120015996,4020
2019-37,120015996,1052
2019-38,120015996,1320
2019-39,120015996,2476
2019-40,120015996,2664
2019-41,120015996,2728
2019-42,120015996,3262
2019-43,120015996,4002
2019-44,120015996,2724
2019-45,120015996,648
2019-46,120015996,1712
2019-47,120015996,1368
2019-48,120015996,1636
2019-49,120015996,580
2019-50,120015996,1568
2019-51,120015996,2740
2019-52,120015996,2431
2020-01,120015996,2676
2020-02,120015996,828
2020-03,120015996,1420
2020-04,120015996,831
2020-05,120015996,296
2020-06,120015996,1740
2020-07,120015996,492
2020-08,120015996,1500
2020-09,120015996,576
2020-10,120015996,1268
2020-11,120015996,1960
2020-12,120015996,2620
2020-13,120015996,3280
2020-14,120015996,1376
2020-15,120015996,2948
2020-16,120015996,1824
2020-17,120015996,1356
2020-18,120015996,1336
2020-19,120015996,1532
2020-20,120015996,3136
2020-21,120015996,704
2020-22,120015996,2428
2020-23,120015996,2124
2020-24,120015996,1820
2020-25,120015996,2917
2020-26,120015996,3548
2020-27,120015996,896
2020-28,120015996,700
2020-29,120015996,1524
2020-30,120015996,920
2020-31,120015996,1358.5
2020-32,120015996,1797
2020-33,120015996,1952.5
2020-34,120015996,2108
2020-35,120015996,1556
2020-36,120015996,1448
2020-37,120015996,460
2020-38,120015996,688
2020-39,120015996,840
2020-40,120015996,3648
2020-41,120015996,1736
2020-42,120015996,2360
2020-43,120015996,2788
2020-44,120015996,2496
2020-45,120015996,1308
2020-46,120015996,3668
2020-47,120015996,1656
2020-48,120015996,1412
2020-49,120015996,1236
2020-50,120015996,2056
2020-51,120015996,1684
2020-52,120015996,2968
2020-53,120015996,2188
2021-01,120015996,1848
2021-02,120015996,504
2021-03,120015996,2124
2021-04,120015996,1800
2021-05,120015996,2203
2021-06,120015996,1414
2021-07,120015996,361
2021-08,120015996,1681
2021-09,120015996,1196
2021-10,120015996,1336
2021-11,120015996,292
2021-12,120015996,1728
2021-13,120015996,1120
2021-14,120015996,860
2021-15,120015996,2580
2021-16,120015996,1556
2021-17,120015996,1944
2021-18,120015996,780
2021-19,120015996,1308
2021-20,120015996,1564
2021-21,120015996,2000
2021-22,120015996,2364
2021-23,120015996,1124
2021-24,120015996,1628
2021-25,120015996,1432
2021-26,120015996,2184
2021-27,120015996,1430
2021-28,120015996,2724
2021-29,120015996,1952
2021-30,120015996,1634
2021-31,120015996,1316
2021-32,120015996,1552
2021-33,120015996,976
2021-34,120015996,676
2021-35,120015996,48
2021-36,120015996,280
2021-37,120015996,1684
2021-38,120015996,1580
2021-39,120015996,1676
2021-40,120015996,3544
2021-41,120015996,1512
2021-42,120015996,1120
2021-43,120015996,1420
2021-44,120015996,1052
2021-45,120015996,712
2021-46,120015996,692
2021-47,120015996,1716
2021-48,120015996,1568
2021-49,120015996,256
2021-50,120015996,968
2021-51,120015996,76
2021-52,120015996,604
2022-01,120015996,1048
2022-02,120015996,1408
2022-03,120015996,3696
2022-04,120015996,296
2022-05,120015996,814
2022-06,120015996,428
2022-07,120015996,1132
2022-08,120015996,2068
2022-09,120015996,212
2022-10,120015996,596
2022-11,120015996,1332
2022-12,120015996,1308
2022-13,120015996,1928
2022-14,120015996,448
2022-15,120015996,1264
2022-16,120015996,1296
2022-17,120015996,2524
2022-18,120015996,2706
2022-19,120015996,3680
2022-20,120015996,2444
2022-21,120015996,3133
2022-22,120015996,680
2022-23,120015996,1145
2022-24,120015996,1235
2022-25,120015996,457
2022-26,120015996,2507
2022-27,120015996,1676
2022-28,120015996,536
2022-29,120015996,494
2022-30,120015996,452
2022-31,120015996,1612
2022-32,120015996,364
2022-33,120015996,636
2022-34,120015996,656
2022-35,120015996,948
2022-36,120015996,600
2022-37,120015996,1452
2022-38,120015996,1920
2022-39,120015996,276
